,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[182],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[183],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[184],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[185],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[186],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[187],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[188],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[189],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[190],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[191],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[192],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[193],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[194],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[195],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[196],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[197],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[198],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[199],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[200],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[201],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[202],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[203],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[204],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[205],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[206],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[207],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[208],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[209],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[210],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[211],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[212],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[213],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[214],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[215],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[216],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[217],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[218],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[219],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[220],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[221],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[222],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[223],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[224],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[225],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[226],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
